Year,Date,Survey,Station,Time,Common Name,Catch,Region
2023,12/11/2023,12,306,10:38,No LFS Catch,0,San Pablo Bay
2023,12/11/2023,12,308,10:19,No LFS Catch,0,San Pablo Bay
2023,12/11/2023,12,311,9:55,No LFS Catch,0,San Pablo Bay
2023,12/11/2023,12,315,11:00,No LFS Catch,0,San Pablo Bay
2023,12/11/2023,12,322,9:35,No LFS Catch,0,San Pablo Bay
2023,12/11/2023,12,323,8:48,No LFS Catch,0,San Pablo Bay
2023,12/11/2023,12,327,11:22,No LFS Catch,0,San Pablo Bay
2023,12/11/2023,12,328,11:45,No LFS Catch,0,San Pablo Bay
2023,12/11/2023,12,330,9:12,No LFS Catch,0,San Pablo Bay
2023,12/11/2023,12,809,8:34,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,812,9:05,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,815,9:33,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,901,10:05,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,902,10:43,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,906,14:46,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,910,14:21,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,912,13:57,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,914,12:47,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,915,11:13,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,918,11:56,No LFS Catch,0,Central & South Delta
2023,12/11/2023,12,919,15:16,No LFS Catch,0,Central & South Delta
2023,12/12/2023,12,340,9:18,No LFS Catch,0,Napa River
2023,12/12/2023,12,342,9:57,No LFS Catch,0,Napa River
2023,12/12/2023,12,343,10:32,No LFS Catch,0,Napa River
2023,12/12/2023,12,344,11:08,No LFS Catch,0,Napa River
2023,12/12/2023,12,345,11:49,No LFS Catch,0,Napa River
2023,12/12/2023,12,346,12:14,No LFS Catch,0,Napa River
2023,12/12/2023,12,347,12:40,No LFS Catch,0,Napa River
2023,12/12/2023,12,348,13:02,No LFS Catch,0,Napa River
2023,12/12/2023,12,349,13:22,No LFS Catch,0,Napa River
2023,12/12/2023,12,704,14:44,Longfin Smelt,2,Sacramento River System
2023,12/12/2023,12,705,11:59,No LFS Catch,0,Sacramento River System
2023,12/12/2023,12,706,14:23,No LFS Catch,0,Sacramento River System
2023,12/12/2023,12,707,12:22,No LFS Catch,0,Sacramento River System
2023,12/12/2023,12,711,13:49,No LFS Catch,0,Sacramento River System
2023,12/12/2023,12,716,13:01,No LFS Catch,0,Sacramento River System
2023,12/12/2023,12,723,13:22,No LFS Catch,0,Sacramento River System
2023,12/13/2023,12,329,9:00,No LFS Catch,0,San Pablo Bay
2023,12/13/2023,12,335,8:35,No LFS Catch,0,San Pablo Bay
2023,12/13/2023,12,336,9:31,No LFS Catch,0,San Pablo Bay
2023,12/13/2023,12,338,9:58,No LFS Catch,0,San Pablo Bay
2023,12/13/2023,12,401,10:26,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,404,10:54,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,405,11:17,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,411,12:11,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,418,11:49,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,501,12:38,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,504,13:04,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,508,13:52,No LFS Catch,0,Confluence
2023,12/13/2023,12,513,14:45,No LFS Catch,0,Confluence
2023,12/13/2023,12,519,13:27,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,520,15:30,No LFS Catch,0,Confluence
2023,12/13/2023,12,602,11:25,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,606,10:56,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,609,9:59,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,610,9:31,No LFS Catch,0,Suisun Bay and West
2023,12/13/2023,12,703,8:46,No LFS Catch,0,Sacramento River System
2023,12/13/2023,12,801,15:08,No LFS Catch,0,Confluence
2023,12/13/2023,12,804,8:09,No LFS Catch,0,Confluence
2023,12/26/2023,13,306,11:26,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,308,11:09,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,311,10:48,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,315,11:49,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,322,10:29,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,323,9:47,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,327,12:14,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,328,12:33,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,329,13:12,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,330,10:10,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,335,12:51,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,336,9:25,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,338,9:02,No LFS Catch,0,San Pablo Bay
2023,12/26/2023,13,401,15:04,No LFS Catch,0,Suisun Bay and West
2023,12/26/2023,13,404,14:41,No LFS Catch,0,Suisun Bay and West
2023,12/26/2023,13,405,14:19,No LFS Catch,0,Suisun Bay and West
2023,12/26/2023,13,809,8:15,Longfin Smelt,1,Central & South Delta
2023,12/26/2023,13,812,8:44,Longfin Smelt,1,Central & South Delta
2023,12/26/2023,13,815,9:11,No LFS Catch,0,Central & South Delta
2023,12/26/2023,13,901,9:51,No LFS Catch,0,Central & South Delta
2023,12/26/2023,13,902,10:28,No LFS Catch,0,Central & South Delta
2023,12/26/2023,13,906,14:48,No LFS Catch,0,Central & South Delta
2023,12/26/2023,13,910,14:20,No LFS Catch,0,Central & South Delta
2023,12/26/2023,13,912,13:53,No LFS Catch,0,Central & South Delta
2023,12/26/2023,13,914,12:41,No LFS Catch,0,Central & South Delta
2023,12/26/2023,13,915,11:04,No LFS Catch,0,Central & South Delta
2023,12/26/2023,13,918,11:47,No LFS Catch,0,Central & South Delta
2023,12/26/2023,13,919,15:27,No LFS Catch,0,Central & South Delta
2023,12/27/2023,13,340,8:48,No LFS Catch,0,Napa River
2023,12/27/2023,13,342,9:20,No LFS Catch,0,Napa River
2023,12/27/2023,13,343,9:43,No LFS Catch,0,Napa River
2023,12/27/2023,13,344,10:13,No LFS Catch,0,Napa River
2023,12/27/2023,13,345,10:36,No LFS Catch,0,Napa River
2023,12/27/2023,13,346,11:00,No LFS Catch,0,Napa River
2023,12/27/2023,13,347,11:23,No LFS Catch,0,Napa River
2023,12/27/2023,13,348,11:47,No LFS Catch,0,Napa River
2023,12/27/2023,13,349,12:11,No LFS Catch,0,Napa River
2023,12/27/2023,13,520,14:45,Longfin Smelt,4,Confluence
2023,12/27/2023,13,703,13:26,Longfin Smelt,1,Sacramento River System
2023,12/27/2023,13,704,12:59,Longfin Smelt,1,Sacramento River System
2023,12/27/2023,13,705,9:32,Longfin Smelt,2,Sacramento River System
2023,12/27/2023,13,706,12:30,No LFS Catch,0,Sacramento River System
2023,12/27/2023,13,707,12:04,Longfin Smelt,1,Sacramento River System
2023,12/27/2023,13,711,11:17,No LFS Catch,0,Sacramento River System
2023,12/27/2023,13,716,10:24,No LFS Catch,0,Sacramento River System
2023,12/27/2023,13,723,10:48,No LFS Catch,0,Sacramento River System
2023,12/27/2023,13,801,14:21,Longfin Smelt,7,Confluence
2023,12/27/2023,13,804,13:53,Longfin Smelt,5,Confluence
2023,12/28/2023,13,411,11:34,No LFS Catch,0,Suisun Bay and West
2023,12/28/2023,13,418,11:05,No LFS Catch,0,Suisun Bay and West
2023,12/28/2023,13,501,12:05,No LFS Catch,0,Suisun Bay and West
2023,12/28/2023,13,504,12:33,No LFS Catch,0,Suisun Bay and West
2023,12/28/2023,13,508,13:28,Longfin Smelt,11,Confluence
2023,12/28/2023,13,513,7:57,Longfin Smelt,8,Confluence
2023,12/28/2023,13,519,12:57,No LFS Catch,0,Suisun Bay and West
2023,12/28/2023,13,602,10:38,No LFS Catch,0,Suisun Bay and West
2023,12/28/2023,13,606,10:01,No LFS Catch,0,Suisun Bay and West
2023,12/28/2023,13,609,9:14,Longfin Smelt,4,Suisun Bay and West
2023,12/28/2023,13,610,8:39,Longfin Smelt,7,Suisun Bay and West
2024,1/8/2024,1,306,10:32,No LFS Catch,0,San Pablo Bay
2024,1/8/2024,1,308,10:13,No LFS Catch,0,San Pablo Bay
2024,1/8/2024,1,311,9:49,No LFS Catch,0,San Pablo Bay
2024,1/8/2024,1,315,10:56,No LFS Catch,0,San Pablo Bay
2024,1/8/2024,1,322,9:27,No LFS Catch,0,San Pablo Bay
2024,1/8/2024,1,323,8:42,No LFS Catch,0,San Pablo Bay
2024,1/8/2024,1,327,11:18,No LFS Catch,0,San Pablo Bay
2024,1/8/2024,1,328,11:37,No LFS Catch,0,San Pablo Bay
2024,1/8/2024,1,330,9:05,No LFS Catch,0,San Pablo Bay
2024,1/8/2024,1,809,8:05,Longfin Smelt,2,Central & South Delta
2024,1/8/2024,1,812,15:25,Longfin Smelt,1,Central & South Delta
2024,1/8/2024,1,815,14:56,Longfin Smelt,1,Central & South Delta
2024,1/8/2024,1,901,8:24,Longfin Smelt,1,Central & South Delta
2024,1/8/2024,1,902,8:55,No LFS Catch,0,Central & South Delta
2024,1/8/2024,1,906,13:09,No LFS Catch,0,Central & South Delta
2024,1/8/2024,1,910,11:44,No LFS Catch,0,Central & South Delta
2024,1/8/2024,1,912,12:26,No LFS Catch,0,Central & South Delta
2024,1/8/2024,1,914,11:05,No LFS Catch,0,Central & South Delta
2024,1/8/2024,1,915,9:24,No LFS Catch,0,Central & South Delta
2024,1/8/2024,1,918,10:08,No LFS Catch,0,Central & South Delta
2024,1/8/2024,1,919,13:52,No LFS Catch,0,Central & South Delta
2024,1/9/2024,1,335,10:32,No LFS Catch,0,San Pablo Bay
2024,1/9/2024,1,338,11:07,No LFS Catch,0,San Pablo Bay
2024,1/9/2024,1,401,8:25,No LFS Catch,0,Suisun Bay and West
2024,1/9/2024,1,404,8:49,No LFS Catch,0,Suisun Bay and West
2024,1/9/2024,1,405,9:11,No LFS Catch,0,Suisun Bay and West
2024,1/9/2024,1,513,12:42,Longfin Smelt,24,Confluence
2024,1/9/2024,1,520,13:01,Longfin Smelt,32,Confluence
2024,1/9/2024,1,703,8:08,Longfin Smelt,10,Sacramento River System
2024,1/9/2024,1,704,8:31,Longfin Smelt,5,Sacramento River System
2024,1/9/2024,1,705,9:21,Longfin Smelt,2,Sacramento River System
2024,1/9/2024,1,706,8:56,No LFS Catch,0,Sacramento River System
2024,1/9/2024,1,707,9:42,No LFS Catch,0,Sacramento River System
2024,1/9/2024,1,711,10:31,Longfin Smelt,1,Sacramento River System
2024,1/9/2024,1,716,11:02,Longfin Smelt,1,Sacramento River System
2024,1/9/2024,1,723,11:35,Longfin Smelt,1,Sacramento River System
2024,1/9/2024,1,804,7:38,No LFS Catch,0,Confluence
2024,1/10/2024,1,329,8:15,No LFS Catch,0,San Pablo Bay
2024,1/10/2024,1,336,8:35,No LFS Catch,0,San Pablo Bay
2024,1/10/2024,1,340,9:01,Longfin Smelt,1,Napa River
2024,1/10/2024,1,342,9:32,No LFS Catch,0,Napa River
2024,1/10/2024,1,343,9:56,No LFS Catch,0,Napa River
2024,1/10/2024,1,344,10:27,No LFS Catch,0,Napa River
2024,1/10/2024,1,345,11:06,No LFS Catch,0,Napa River
2024,1/10/2024,1,346,11:28,No LFS Catch,0,Napa River
2024,1/10/2024,1,347,11:47,No LFS Catch,0,Napa River
2024,1/10/2024,1,348,12:10,No LFS Catch,0,Napa River
2024,1/10/2024,1,349,12:36,No LFS Catch,0,Napa River
2024,1/10/2024,1,411,11:55,No LFS Catch,0,Suisun Bay and West
2024,1/10/2024,1,418,10:06,No LFS Catch,0,Suisun Bay and West
2024,1/10/2024,1,501,12:21,Longfin Smelt,4,Suisun Bay and West
2024,1/10/2024,1,504,12:45,Longfin Smelt,2,Suisun Bay and West
2024,1/10/2024,1,508,13:36,Longfin Smelt,6,Confluence
2024,1/10/2024,1,519,13:07,Longfin Smelt,8,Suisun Bay and West
2024,1/10/2024,1,602,10:17,Longfin Smelt,16,Suisun Bay and West
2024,1/10/2024,1,606,9:43,Longfin Smelt,3,Suisun Bay and West
2024,1/10/2024,1,609,9:03,No LFS Catch,0,Suisun Bay and West
2024,1/10/2024,1,610,8:28,Longfin Smelt,2,Suisun Bay and West
2024,1/10/2024,1,801,7:41,Longfin Smelt,16,Confluence
2024,1/22/2024,2,508,12:22,Longfin Smelt,40,Confluence
2024,1/22/2024,2,513,12:00,Longfin Smelt,27,Confluence
2024,1/22/2024,2,520,12:47,Longfin Smelt,90,Confluence
2024,1/22/2024,2,703,8:18,Longfin Smelt,15,Sacramento River System
2024,1/22/2024,2,704,8:40,No LFS Catch,0,Sacramento River System
2024,1/22/2024,2,705,9:26,No LFS Catch,0,Sacramento River System
2024,1/22/2024,2,706,9:03,No LFS Catch,0,Sacramento River System
2024,1/22/2024,2,707,9:45,No LFS Catch,0,Sacramento River System
2024,1/22/2024,2,711,10:12,No LFS Catch,0,Sacramento River System
2024,1/22/2024,2,716,10:57,No LFS Catch,0,Sacramento River System
2024,1/22/2024,2,723,10:39,No LFS Catch,0,Sacramento River System
2024,1/22/2024,2,804,7:55,No LFS Catch,0,Confluence
2024,1/22/2024,2,809,13:45,Longfin Smelt,11,Central & South Delta
2024,1/22/2024,2,812,13:19,Longfin Smelt,8,Central & South Delta
2024,1/22/2024,2,815,12:56,Longfin Smelt,1,Central & South Delta
2024,1/22/2024,2,901,14:09,Longfin Smelt,1,Central & South Delta
2024,1/22/2024,2,902,14:28,Longfin Smelt,3,Central & South Delta
2024,1/22/2024,2,906,10:24,No LFS Catch,0,Central & South Delta
2024,1/22/2024,2,910,10:50,No LFS Catch,0,Central & South Delta
2024,1/22/2024,2,912,11:16,No LFS Catch,0,Central & South Delta
2024,1/22/2024,2,914,9:49,No LFS Catch,0,Central & South Delta
2024,1/22/2024,2,915,9:24,No LFS Catch,0,Central & South Delta
2024,1/22/2024,2,918,8:56,No LFS Catch,0,Central & South Delta
2024,1/22/2024,2,919,12:24,No LFS Catch,0,Central & South Delta
2024,1/23/2024,2,338,15:16,No LFS Catch,0,San Pablo Bay
2024,1/23/2024,2,401,14:49,Longfin Smelt,1,Suisun Bay and West
2024,1/23/2024,2,404,14:30,No LFS Catch,0,Suisun Bay and West
2024,1/23/2024,2,405,13:36,Longfin Smelt,1,Suisun Bay and West
2024,1/23/2024,2,411,12:50,No LFS Catch,0,Suisun Bay and West
2024,1/23/2024,2,418,13:12,Longfin Smelt,5,Suisun Bay and West
2024,1/23/2024,2,501,12:25,Longfin Smelt,64,Suisun Bay and West
2024,1/23/2024,2,504,11:01,Longfin Smelt,14,Suisun Bay and West
2024,1/23/2024,2,519,10:41,Longfin Smelt,54,Suisun Bay and West
2024,1/23/2024,2,602,10:14,Longfin Smelt,41,Suisun Bay and West
2024,1/23/2024,2,606,9:47,Longfin Smelt,6,Suisun Bay and West
2024,1/23/2024,2,609,9:05,Longfin Smelt,5,Suisun Bay and West
2024,1/23/2024,2,610,8:35,Longfin Smelt,3,Suisun Bay and West
2024,1/23/2024,2,801,7:47,Longfin Smelt,26,Confluence
2024,1/24/2024,2,306,10:57,No LFS Catch,0,San Pablo Bay
2024,1/24/2024,2,308,10:42,No LFS Catch,0,San Pablo Bay
2024,1/24/2024,2,311,11:16,No LFS Catch,0,San Pablo Bay
2024,1/24/2024,2,315,10:23,No LFS Catch,0,San Pablo Bay
2024,1/24/2024,2,322,11:34,No LFS Catch,0,San Pablo Bay
2024,1/24/2024,2,323,12:10,No LFS Catch,0,San Pablo Bay
2024,1/24/2024,2,327,10:06,No LFS Catch,0,San Pablo Bay
2024,1/24/2024,2,328,9:48,No LFS Catch,0,San Pablo Bay
2024,1/24/2024,2,329,9:12,Longfin Smelt,3,San Pablo Bay
2024,1/24/2024,2,330,11:50,No LFS Catch,0,San Pablo Bay
2024,1/24/2024,2,335,9:29,Longfin Smelt,3,San Pablo Bay
2024,1/24/2024,2,336,8:53,No LFS Catch,0,San Pablo Bay
2024,1/25/2024,2,340,10:04,Longfin Smelt,6,Napa River
2024,1/25/2024,2,342,10:32,Longfin Smelt,4,Napa River
2024,1/25/2024,2,343,10:57,Longfin Smelt,1,Napa River
2024,1/25/2024,2,344,11:24,Longfin Smelt,9,Napa River
2024,1/25/2024,2,345,11:43,Longfin Smelt,11,Napa River
