"","event","start","end","group","notes","category"
"337",NA,2023-12-05,2023-12-12,"20mm Survey","Not Active","4"
"338",NA,2023-12-05,2023-12-12,"Fall Mid-water Trawl","Active","1"
"339",NA,2023-12-05,2023-12-12,"Summer Townet Survey","Not Active","4"
"340",NA,2023-12-05,2023-12-12,"Bay Study","Active","1"
"341",NA,2023-12-05,2023-12-12,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"342",NA,2023-12-05,2023-12-12,"DJFMP- Seines","Active","1"
"343",NA,2023-12-05,2023-12-12,"EDSM","Active","1"
"344",NA,2023-12-05,2023-12-12,"EMP","Active","1"
"345",NA,2023-12-05,2023-12-12,"Mossdale","Active","1"
"346",NA,2023-12-05,2023-12-12,"USGS Flow monitoring","Active","1"
"347",NA,2023-12-05,2023-12-12,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"348",NA,2023-12-05,2023-12-12,"Knights Landing RST","Active","1"
"349",NA,2023-12-05,2023-12-12,"Tisdale RST","Active","1"
"350",NA,2023-12-05,2023-12-12,"GCID RST","Not Active","4"
"351",NA,2023-12-05,2023-12-12,"Yuba River (Hallwood) RST","Active","1"
"352",NA,2023-12-05,2023-12-12,"Redd dewatering and stranding surveys","Active","1"
"353",NA,2023-12-05,2023-12-12,"Sacramento Carcass and Redd Surveys","Active","1"
"354",NA,2023-12-05,2023-12-12,"Lower Sacramento RST","Active","1"
"355",NA,2023-12-05,2023-12-12,"Feather River (upper DWR) RST","Active","1"
"356",NA,2023-12-05,2023-12-12,"Feather River (lower CDFW) RST","Active","1"
"357",NA,2023-12-05,2023-12-12,"SJRRP CDFW Field Monitoring","Active","1"
"358",NA,2023-12-05,2023-12-12,"SJRRP USBR Field Monitoring","Active","1"
"359",NA,2023-12-05,2023-12-12,"Stanislaus Fish Weir","Active","1"
"360",NA,2023-12-05,2023-12-12,"American River Carcass/Redd Surveys","Active","1"
"361",NA,2023-12-05,2023-12-12,"Caswell RST","Not Active","4"
"362",NA,2023-12-05,2023-12-12,"Wallace Weir","Active","1"
"363",NA,2023-12-05,2023-12-12,"Butte Creek RST/Diversion Trap","Active","1"
"364",NA,2023-12-12,2023-12-19,"SWP regular counts, CWT reading","Active","1"
"365",NA,2023-12-12,2023-12-19,"SWP larval sampling","Not Active","4"
"366",NA,2023-12-12,2023-12-19,"CVP regular counts, CWT reading","Active","1"
"367",NA,2023-12-12,2023-12-19,"CVP larval sampling","Not Active","4"
"368",NA,2023-12-12,2023-12-19,"Smelt Larval Survey","Active","1"
"369",NA,2023-12-12,2023-12-19,"LEPS","Not Active","4"
"370",NA,2023-12-12,2023-12-19,"20mm Survey","Not Active","4"
"371",NA,2023-12-12,2023-12-19,"Fall Mid-water Trawl","Active","1"
"372",NA,2023-12-12,2023-12-19,"Summer Townet Survey","Not Active","4"
"373",NA,2023-12-12,2023-12-19,"Bay Study","Active","1"
"374",NA,2023-12-12,2023-12-19,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"375",NA,2023-12-12,2023-12-19,"DJFMP- Seines","Active","1"
"376",NA,2023-12-12,2023-12-19,"EDSM","Active","1"
"377",NA,2023-12-12,2023-12-19,"EMP","Active","1"
"378",NA,2023-12-12,2023-12-19,"Mossdale","Active","1"
"379",NA,2023-12-12,2023-12-19,"USGS Flow monitoring","Active","1"
"380",NA,2023-12-12,2023-12-19,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"381",NA,2023-12-12,2023-12-19,"Knights Landing RST","Active","1"
"382",NA,2023-12-12,2023-12-19,"Tisdale RST","Active","1"
"383",NA,2023-12-12,2023-12-19,"GCID RST","Not Active","4"
"384",NA,2023-12-12,2023-12-19,"Yuba River (Hallwood) RST","Active","1"
"385",NA,2023-12-12,2023-12-19,"Redd dewatering and stranding surveys","Active","1"
"386",NA,2023-12-12,2023-12-19,"Sacramento Carcass and Redd Surveys","Active","1"
"387",NA,2023-12-12,2023-12-19,"Lower Sacramento RST","Active","1"
"388",NA,2023-12-12,2023-12-19,"Feather River (upper DWR) RST","Active","1"
"389",NA,2023-12-12,2023-12-19,"Feather River (lower CDFW) RST","Active","1"
"390",NA,2023-12-12,2023-12-19,"SJRRP CDFW Field Monitoring","Active","1"
"391",NA,2023-12-12,2023-12-19,"SJRRP USBR Field Monitoring","Active","1"
"392",NA,2023-12-12,2023-12-19,"Stanislaus Fish Weir","Active","1"
"393",NA,2023-12-12,2023-12-19,"American River Carcass/Redd Surveys","Active","1"
"394",NA,2023-12-12,2023-12-19,"Caswell RST","Not Active","4"
"395",NA,2023-12-12,2023-12-19,"Wallace Weir","Active","1"
"396",NA,2023-12-12,2023-12-19,"Butte Creek RST/Diversion Trap","Active","1"
"397",NA,2023-12-19,2023-12-26,"SWP regular counts, CWT reading","Active","1"
"398",NA,2023-12-19,2023-12-26,"SWP larval sampling","Not Active","4"
"399",NA,2023-12-19,2023-12-26,"CVP regular counts, CWT reading","Active","1"
"400",NA,2023-12-19,2023-12-26,"CVP larval sampling","Not Active","4"
"401",NA,2023-12-19,2023-12-26,"Smelt Larval Survey","Active","1"
"402",NA,2023-12-19,2023-12-26,"LEPS","Not Active","4"
"403",NA,2023-12-19,2023-12-26,"20mm Survey","Not Active","4"
"404",NA,2023-12-19,2023-12-26,"Fall Mid-water Trawl","Not Active","4"
"405",NA,2023-12-19,2023-12-26,"Summer Townet Survey","Not Active","4"
"406",NA,2023-12-19,2023-12-26,"Bay Study","Active","1"
"407",NA,2023-12-19,2023-12-26,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"408",NA,2023-12-19,2023-12-26,"DJFMP- Seines","Active","1"
"409",NA,2023-12-19,2023-12-26,"EDSM","Active","1"
"410",NA,2023-12-19,2023-12-26,"EMP","Active","1"
"411",NA,2023-12-19,2023-12-26,"Mossdale","Active","1"
"412",NA,2023-12-19,2023-12-26,"USGS Flow monitoring","Active","1"
"413",NA,2023-12-19,2023-12-26,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"414",NA,2023-12-19,2023-12-26,"Knights Landing RST","Active","1"
"415",NA,2023-12-19,2023-12-26,"Tisdale RST","Active","1"
"416",NA,2023-12-19,2023-12-26,"GCID RST","Not Active","4"
"417",NA,2023-12-19,2023-12-26,"Yuba River (Hallwood) RST","Active","1"
"418",NA,2023-12-19,2023-12-26,"Redd dewatering and stranding surveys","Active","1"
"419",NA,2023-12-19,2023-12-26,"Sacramento Carcass and Redd Surveys","Active","1"
"420",NA,2023-12-19,2023-12-26,"Lower Sacramento RST","Active","1"
"421",NA,2023-12-19,2023-12-26,"Feather River (upper DWR) RST","Active","1"
"422",NA,2023-12-19,2023-12-26,"Feather River (lower CDFW) RST","Active","1"
"423",NA,2023-12-19,2023-12-26,"SJRRP CDFW Field Monitoring","Active","1"
"424",NA,2023-12-19,2023-12-26,"SJRRP USBR Field Monitoring","Active","1"
"425",NA,2023-12-19,2023-12-26,"Stanislaus Fish Weir","Active","1"
"426",NA,2023-12-19,2023-12-26,"American River Carcass/Redd Surveys","Active","1"
"427",NA,2023-12-19,2023-12-26,"Caswell RST","Not Active","4"
"428",NA,2023-12-19,2023-12-26,"Wallace Weir","Active","1"
"429",NA,2023-12-19,2023-12-26,"Butte Creek RST/Diversion Trap","Active","1"
"430",NA,2023-12-26,2024-01-02,"SWP regular counts, CWT reading","Active","1"
"431",NA,2023-12-26,2024-01-02,"SWP larval sampling","Not Active","4"
"432",NA,2023-12-26,2024-01-02,"CVP regular counts, CWT reading","Active","1"
"433",NA,2023-12-26,2024-01-02,"CVP larval sampling","Not Active","4"
"434",NA,2023-12-26,2024-01-02,"Smelt Larval Survey","Active","1"
"435",NA,2023-12-26,2024-01-02,"LEPS","Active","1"
"436",NA,2023-12-26,2024-01-02,"20mm Survey","Not Active","4"
"437",NA,2023-12-26,2024-01-02,"Fall Mid-water Trawl","Not Active","4"
"438",NA,2023-12-26,2024-01-02,"Summer Townet Survey","Not Active","4"
"439",NA,2023-12-26,2024-01-02,"Bay Study","Active","1"
"440",NA,2023-12-26,2024-01-02,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"441",NA,2023-12-26,2024-01-02,"DJFMP- Seines","Active","1"
"442",NA,2023-12-26,2024-01-02,"EDSM","Active","1"
"443",NA,2023-12-26,2024-01-02,"EMP","Active","1"
"444",NA,2023-12-26,2024-01-02,"Mossdale","Active","1"
"445",NA,2023-12-26,2024-01-02,"USGS Flow monitoring","Active","1"
"446",NA,2023-12-26,2024-01-02,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"447",NA,2023-12-26,2024-01-02,"Knights Landing RST","Active","1"
"448",NA,2023-12-26,2024-01-02,"Tisdale RST","Active","1"
"449",NA,2023-12-26,2024-01-02,"GCID RST","Not Active","4"
"450",NA,2023-12-26,2024-01-02,"Yuba River (Hallwood) RST","Active","1"
"451",NA,2023-12-26,2024-01-02,"Redd dewatering and stranding surveys","Active","1"
"452",NA,2023-12-26,2024-01-02,"Sacramento Carcass and Redd Surveys","Active","1"
"453",NA,2023-12-26,2024-01-02,"Lower Sacramento RST","Active","1"
"454",NA,2023-12-26,2024-01-02,"Feather River (upper DWR) RST","Active","1"
"455",NA,2023-12-26,2024-01-02,"Feather River (lower CDFW) RST","Active","1"
"456",NA,2023-12-26,2024-01-02,"SJRRP CDFW Field Monitoring","Active","1"
"457",NA,2023-12-26,2024-01-02,"SJRRP USBR Field Monitoring","Active","1"
"458",NA,2023-12-26,2024-01-02,"Stanislaus Fish Weir","Active","1"
"459",NA,2023-12-26,2024-01-02,"American River Carcass/Redd Surveys","Active","1"
"460",NA,2023-12-26,2024-01-02,"Caswell RST","Not Active","4"
"461",NA,2023-12-26,2024-01-02,"Wallace Weir","Active","1"
"462",NA,2023-12-26,2024-01-02,"Butte Creek RST/Diversion Trap","Active","1"
"463",NA,2024-01-02,2024-01-09,"SWP regular counts, CWT reading","Active","1"
"464",NA,2024-01-02,2024-01-09,"SWP larval sampling","Not Active","4"
"465",NA,2024-01-02,2024-01-09,"CVP regular counts, CWT reading","Active","1"
"466",NA,2024-01-02,2024-01-09,"CVP larval sampling","Not Active","4"
"467",NA,2024-01-02,2024-01-09,"Smelt Larval Survey","Active","1"
"468",NA,2024-01-02,2024-01-09,"LEPS","Active","1"
"469",NA,2024-01-02,2024-01-09,"20mm Survey","Not Active","4"
"470",NA,2024-01-02,2024-01-09,"Fall Mid-water Trawl","Not Active","4"
"471",NA,2024-01-02,2024-01-09,"Summer Townet Survey","Not Active","4"
"472",NA,2024-01-02,2024-01-09,"Bay Study","Active","1"
"473",NA,2024-01-02,2024-01-09,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"474",NA,2024-01-02,2024-01-09,"DJFMP- Seines","Active","1"
"475",NA,2024-01-02,2024-01-09,"EDSM","Active","1"
"476",NA,2024-01-02,2024-01-09,"EMP","Active","1"
"477",NA,2024-01-02,2024-01-09,"Mossdale","Active","1"
"478",NA,2024-01-02,2024-01-09,"USGS Flow monitoring","Active","1"
"479",NA,2024-01-02,2024-01-09,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"480",NA,2024-01-02,2024-01-09,"Knights Landing RST","Active","1"
"481",NA,2024-01-02,2024-01-09,"Tisdale RST","Active","1"
"482",NA,2024-01-02,2024-01-09,"Yuba River (Hallwood) RST","Active","1"
"483",NA,2024-01-02,2024-01-09,"Redd dewatering and stranding surveys","Active","1"
"484",NA,2024-01-02,2024-01-09,"Sacramento Carcass and Redd Surveys","Active","1"
"485",NA,2024-01-02,2024-01-09,"Lower Sacramento RST","Active","1"
"486",NA,2024-01-02,2024-01-09,"Feather River (upper DWR) RST","Active","1"
"487",NA,2024-01-02,2024-01-09,"Feather River (lower CDFW) RST","Active","1"
"488",NA,2024-01-02,2024-01-09,"SJRRP CDFW Field Monitoring","Active","1"
"489",NA,2024-01-02,2024-01-09,"SJRRP USBR Field Monitoring","Active","1"
"490",NA,2024-01-02,2024-01-09,"Stanislaus Fish Weir","Active","1"
"491",NA,2024-01-02,2024-01-09,"American River Carcass/Redd Surveys","Active","1"
"492",NA,2024-01-02,2024-01-09,"Caswell RST","Not Active","4"
"493",NA,2024-01-02,2024-01-09,"Wallace Weir","Active","1"
"494",NA,2024-01-02,2024-01-09,"Butte Creek RST/Diversion Trap","Active","1"
"495",NA,2024-01-09,2024-01-16,"SWP regular counts, CWT reading","Active","1"
"496",NA,2024-01-09,2024-01-16,"SWP larval sampling","Not Active","4"
"497",NA,2024-01-09,2024-01-16,"CVP regular counts, CWT reading","Active","1"
"498",NA,2024-01-09,2024-01-16,"CVP larval sampling","Not Active","4"
"499",NA,2024-01-09,2024-01-16,"Smelt Larval Survey","Active","1"
"500",NA,2024-01-09,2024-01-16,"LEPS","Active","1"
"501",NA,2024-01-09,2024-01-16,"20mm Survey","Not Active","4"
"502",NA,2024-01-09,2024-01-16,"Fall Mid-water Trawl","Not Active","4"
"503",NA,2024-01-09,2024-01-16,"Summer Townet Survey","Not Active","4"
"504",NA,2024-01-09,2024-01-16,"Bay Study","Active","1"
"505",NA,2024-01-09,2024-01-16,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"506",NA,2024-01-09,2024-01-16,"DJFMP- Seines","Active","1"
"507",NA,2024-01-09,2024-01-16,"EDSM","Active","1"
"508",NA,2024-01-09,2024-01-16,"EMP","Active","1"
"509",NA,2024-01-09,2024-01-16,"Mossdale","Active","1"
"510",NA,2024-01-09,2024-01-16,"USGS Flow monitoring","Active","1"
"511",NA,2024-01-09,2024-01-16,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"512",NA,2024-01-09,2024-01-16,"Knights Landing RST","Active","1"
"513",NA,2024-01-09,2024-01-16,"Tisdale RST","Active","1"
"514",NA,2024-01-09,2024-01-16,"Yuba River (Hallwood) RST","Active","1"
"515",NA,2024-01-09,2024-01-16,"Redd dewatering and stranding surveys","Active","1"
"516",NA,2024-01-09,2024-01-16,"Sacramento Carcass and Redd Surveys","Active","1"
"517",NA,2024-01-09,2024-01-16,"Lower Sacramento RST","Active","1"
"518",NA,2024-01-09,2024-01-16,"Feather River (upper DWR) RST","Active","1"
"519",NA,2024-01-09,2024-01-16,"Feather River (lower CDFW) RST","Active","1"
"520",NA,2024-01-09,2024-01-16,"SJRRP CDFW Field Monitoring","Active","1"
"521",NA,2024-01-09,2024-01-16,"SJRRP USBR Field Monitoring","Active","1"
"522",NA,2024-01-09,2024-01-16,"Stanislaus Fish Weir","Active","1"
"523",NA,2024-01-09,2024-01-16,"American River Carcass/Redd Surveys","Active","1"
"524",NA,2024-01-09,2024-01-16,"Caswell RST","Active","1"
"525",NA,2024-01-09,2024-01-16,"Wallace Weir","Active","1"
"526",NA,2024-01-09,2024-01-16,"Butte Creek RST/Diversion Trap","Active","1"
"527",NA,2024-01-16,2024-01-23,"SWP regular counts, CWT reading","Active","1"
"528",NA,2024-01-16,2024-01-23,"SWP larval sampling","Not Active","4"
"529",NA,2024-01-16,2024-01-23,"CVP regular counts, CWT reading","Partially interrupted (1/24)","2"
"530",NA,2024-01-16,2024-01-23,"CVP larval sampling","Not Active","4"
"531",NA,2024-01-16,2024-01-23,"Smelt Larval Survey","Active","1"
"532",NA,2024-01-16,2024-01-23,"LEPS","Active","1"
"533",NA,2024-01-16,2024-01-23,"20mm Survey","Not Active","4"
"534",NA,2024-01-16,2024-01-23,"Fall Mid-water Trawl","Not Active","4"
"535",NA,2024-01-16,2024-01-23,"Summer Townet Survey","Not Active","4"
"536",NA,2024-01-16,2024-01-23,"Bay Study","Active","1"
"537",NA,2024-01-16,2024-01-23,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"538",NA,2024-01-16,2024-01-23,"DJFMP- Seines","Active","1"
"539",NA,2024-01-16,2024-01-23,"EDSM","Active","1"
"540",NA,2024-01-16,2024-01-23,"EMP","Active","1"
"541",NA,2024-01-16,2024-01-23,"Mossdale Trawl","Active","1"
"542",NA,2024-01-16,2024-01-23,"USGS Flow monitoring","Active","1"
"543",NA,2024-01-16,2024-01-23,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"544",NA,2024-01-16,2024-01-23,"Knights Landing RST","Active","1"
"545",NA,2024-01-16,2024-01-23,"Tisdale RST","Active","1"
"546",NA,2024-01-16,2024-01-23,"Yuba River (Hallwood) RST","Active","1"
"547",NA,2024-01-16,2024-01-23,"Redd dewatering and stranding surveys","Active","1"
"548",NA,2024-01-16,2024-01-23,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"549",NA,2024-01-16,2024-01-23,"Lower Sacramento RST","Partially Interrupted (Inactive due to high flows from 1/14/24-1/15/24)","2"
"550",NA,2024-01-16,2024-01-23,"Feather River (upper DWR) RST","Active","1"
"551",NA,2024-01-16,2024-01-23,"Feather River (lower CDFW) RST","Active","1"
"552",NA,2024-01-16,2024-01-23,"SJRRP CDFW Field Monitoring","Active","1"
"553",NA,2024-01-16,2024-01-23,"SJRRP USBR Field Monitoring","Active","1"
"554",NA,2024-01-16,2024-01-23,"Stanislaus Fish Weir","Active","1"
"555",NA,2024-01-16,2024-01-23,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Active","1"
"556",NA,2024-01-16,2024-01-23,"Stanislaus Carcass Survey (Steelhead/Fall-run Chinook salmon)","Active","1"
"557",NA,2024-01-16,2024-01-23,"Caswell RST","Active","1"
"558",NA,2024-01-16,2024-01-23,"Wallace Weir","Active","1"
"559",NA,2024-01-16,2024-01-23,"Butte Creek RST/Diversion Trap","Active","1"
"560",NA,NA,NA,"SWP regular counts, CWT reading","Active","1"
"561",NA,NA,NA,"SWP larval sampling","Not Active","4"
"562",NA,NA,NA,"CVP regular counts, CWT reading","Active","1"
"563",NA,NA,NA,"CVP larval sampling","Not Active","4"
"564",NA,NA,NA,"Smelt Larval Survey","Active","1"
"565",NA,NA,NA,"LEPS","Active","1"
"566",NA,NA,NA,"20mm Survey","Not Active","4"
"567",NA,NA,NA,"Fall Mid-water Trawl","Not Active","4"
"568",NA,NA,NA,"Summer Townet Survey","Not Active","4"
"569",NA,NA,NA,"Bay Study","Active","1"
"570",NA,NA,NA,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"571",NA,NA,NA,"DJFMP- Seines","Active","1"
"572",NA,NA,NA,"EDSM","Active","1"
"573",NA,NA,NA,"Environmental Monitoring Program (EMP)","Active","1"
"574",NA,NA,NA,"Mossdale Trawl","Active","1"
"575",NA,NA,NA,"USGS Flow monitoring","Active","1"
"576",NA,NA,NA,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"577",NA,NA,NA,"Knights Landing RST","Active","1"
"578",NA,NA,NA,"Tisdale RST","Active","1"
"579",NA,NA,NA,"Yuba River (Hallwood) RST","Active","1"
"580",NA,NA,NA,"Redd dewatering and stranding surveys","Active","1"
"581",NA,NA,NA,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"582",NA,NA,NA,"Lower Sacramento RST","Partially Interrupted (Inactive due to high flows from 1/21/24-1/29/24)","2"
"583",NA,NA,NA,"Feather River (upper DWR) RST","Active","1"
"584",NA,NA,NA,"Feather River (lower CDFW) RST","Active","1"
"585",NA,NA,NA,"Lower American River at Watt Ave RST","Active","1"
"586",NA,NA,NA,"SJRRP CDFW Field Monitoring","Active","1"
"587",NA,NA,NA,"SJRRP USBR Field Monitoring","Active","1"
"588",NA,NA,NA,"Stanislaus Fish Weir","Active","1"
"589",NA,NA,NA,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"590",NA,NA,NA,"Stanislaus Carcass Survey (Steelhead)","Active","1"
"591",NA,NA,NA,"Caswell RST","Active","1"
"592",NA,NA,NA,"Wallace Weir","Active","1"
"593",NA,NA,NA,"Butte Creek RST/Diversion Trap","Active","1"
"594",NA,2024-01-30,2024-02-06,"SWP regular counts, CWT reading","Active","1"
"595",NA,2024-01-30,2024-02-06,"SWP larval sampling","Not Active (Will begin 2/26)","4"
"596",NA,2024-01-30,2024-02-06,"CVP regular counts, CWT reading","Active","1"
"597",NA,2024-01-30,2024-02-06,"CVP larval sampling","Not Active (Will begin 2/20)","4"
"598",NA,2024-01-30,2024-02-06,"Smelt Larval Survey","Active","1"
"599",NA,2024-01-30,2024-02-06,"LEPS","Active","1"
"600",NA,2024-01-30,2024-02-06,"20mm Survey","Not Active","4"
"601",NA,2024-01-30,2024-02-06,"Fall Mid-water Trawl","Not Active","4"
"602",NA,2024-01-30,2024-02-06,"Summer Townet Survey","Not Active","4"
"603",NA,2024-01-30,2024-02-06,"Bay Study","Active","1"
"604",NA,2024-01-30,2024-02-06,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"605",NA,2024-01-30,2024-02-06,"DJFMP- Seines","Active","1"
"606",NA,2024-01-30,2024-02-06,"EDSM","Active","1"
"607",NA,2024-01-30,2024-02-06,"Environmental Monitoring Program (EMP)","Active","1"
"608",NA,2024-01-30,2024-02-06,"Mossdale Trawl","Active","1"
"609",NA,2024-01-30,2024-02-06,"USGS Flow monitoring","Active","1"
"610",NA,2024-01-30,2024-02-06,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"611",NA,2024-01-30,2024-02-06,"Knights Landing RST","Partially Interrupted (Inactive due to high flows from 1/30/24 - 2/5/24)","2"
"612",NA,2024-01-30,2024-02-06,"Tisdale RST","Partially Interrupted (Inactive due to high flows from 2/1/24 - 2/2/24)","2"
"613",NA,2024-01-30,2024-02-06,"Yuba River (Hallwood) RST","Active","1"
"614",NA,2024-01-30,2024-02-06,"Redd dewatering and stranding surveys","Active","1"
"615",NA,2024-01-30,2024-02-06,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"616",NA,2024-01-30,2024-02-06,"Lower Sacramento RST","Partially Interrupted (Inactive due to high flows from 1/31/24-2/5/24)","2"
"617",NA,2024-01-30,2024-02-06,"Feather River (upper DWR) RST","Active","1"
"618",NA,2024-01-30,2024-02-06,"Feather River (lower CDFW) RST","Active","1"
"619",NA,2024-01-30,2024-02-06,"Lower American River at Watt Ave RST","Active","1"
"620",NA,2024-01-30,2024-02-06,"SJRRP CDFW Field Monitoring","Active","1"
"621",NA,2024-01-30,2024-02-06,"SJRRP USBR Field Monitoring","Active","1"
"622",NA,2024-01-30,2024-02-06,"Stanislaus Fish Weir","Active","1"
"623",NA,2024-01-30,2024-02-06,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"624",NA,2024-01-30,2024-02-06,"Stanislaus Carcass Survey (Steelhead)","Active","1"
"625",NA,2024-01-30,2024-02-06,"Caswell RST","Active","1"
"626",NA,2024-01-30,2024-02-06,"Wallace Weir","Active","1"
"627",NA,2024-01-30,2024-02-06,"Butte Creek RST/Diversion Trap","Active","1"
"628",NA,2024-02-06,2024-02-13,"SWP regular counts, CWT reading","Active","1"
"629",NA,2024-02-06,2024-02-13,"SWP larval sampling","Not Active (Will begin 2/26)","4"
"630",NA,2024-02-06,2024-02-13,"CVP regular counts, CWT reading","Active","1"
"631",NA,2024-02-06,2024-02-13,"CVP larval sampling","Not Active (Will begin 2/20)","4"
"632",NA,2024-02-06,2024-02-13,"Smelt Larval Survey","Active","1"
"633",NA,2024-02-06,2024-02-13,"LEPS","Active","1"
"634",NA,2024-02-06,2024-02-13,"20mm Survey","Not Active","4"
"635",NA,2024-02-06,2024-02-13,"Fall Mid-water Trawl","Not Active","4"
"636",NA,2024-02-06,2024-02-13,"Summer Townet Survey","Not Active","4"
"637",NA,2024-02-06,2024-02-13,"Bay Study","Active","1"
"638",NA,2024-02-06,2024-02-13,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"639",NA,2024-02-06,2024-02-13,"DJFMP- Seines","Active","1"
"640",NA,2024-02-06,2024-02-13,"EDSM","Active","1"
"641",NA,2024-02-06,2024-02-13,"Environmental Monitoring Program (EMP)","Active","1"
"642",NA,2024-02-06,2024-02-13,"Mossdale Trawl","Active","1"
"643",NA,2024-02-06,2024-02-13,"USGS Flow monitoring","Active","1"
"644",NA,2024-02-06,2024-02-13,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"645",NA,2024-02-06,2024-02-13,"Knights Landing RST","Active (Inactive due to high flows from 1/31/24 - 2//24)","1"
"646",NA,2024-02-06,2024-02-13,"Tisdale RST","Active(Inactive due to high flows from 2/6/24 - 2/8/24)","1"
