"","event","start","end","group","notes","category"
"647",NA,2024-02-06,2024-02-13,"Yuba River (Hallwood) RST","Active","1"
"648",NA,2024-02-06,2024-02-13,"Redd dewatering and stranding surveys","Active","1"
"649",NA,2024-02-06,2024-02-13,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"650",NA,2024-02-06,2024-02-13,"Lower Sacramento RST","Active  (Inactive due to high flows from (2/5/24-2/6/24 and only trapping during the day and raising cones at night","1"
"651",NA,2024-02-06,2024-02-13,"Feather River (upper DWR) RST","Active","1"
"652",NA,2024-02-06,2024-02-13,"Feather River (lower CDFW) RST","Active (Fishing at half cone)","1"
"653",NA,2024-02-06,2024-02-13,"Lower American River at Watt Ave RST","Active","1"
"654",NA,2024-02-06,2024-02-13,"SJRRP CDFW Field Monitoring","Active","1"
"655",NA,2024-02-06,2024-02-13,"SJRRP USBR Field Monitoring","Active","1"
"656",NA,2024-02-06,2024-02-13,"Stanislaus Fish Weir","Active","1"
"657",NA,2024-02-06,2024-02-13,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"658",NA,2024-02-06,2024-02-13,"Stanislaus Carcass Survey (Steelhead)","Active","1"
"659",NA,2024-02-06,2024-02-13,"Caswell RST","Active","1"
"660",NA,2024-02-06,2024-02-13,"Wallace Weir","Active","1"
"661",NA,2024-02-06,2024-02-13,"Butte Creek RST/Diversion Trap","Active","1"
"662",NA,2024-02-13,2024-02-20,"SWP regular counts, CWT reading","Active","1"
"663",NA,2024-02-13,2024-02-20,"SWP larval sampling","Not Active (Will begin 2/26)","4"
"664",NA,2024-02-13,2024-02-20,"CVP regular counts, CWT reading","Active","1"
"665",NA,2024-02-13,2024-02-20,"CVP larval sampling","Active","1"
"666",NA,2024-02-13,2024-02-20,"Smelt Larval Survey","Active","1"
"667",NA,2024-02-13,2024-02-20,"LEPS","Active","1"
"668",NA,2024-02-13,2024-02-20,"20mm Survey","Not Active","4"
"669",NA,2024-02-13,2024-02-20,"Fall Mid-water Trawl","Not Active","4"
"670",NA,2024-02-13,2024-02-20,"Summer Townet Survey","Not Active","4"
"671",NA,2024-02-13,2024-02-20,"Bay Study","Active","1"
"672",NA,2024-02-13,2024-02-20,"DJFMP- Chipps and Sacramento Trawls","Not active (will restart next week)","4"
"673",NA,2024-02-13,2024-02-20,"DJFMP- Seines","Not active (will restart next week)","4"
"674",NA,2024-02-13,2024-02-20,"EDSM","Not active (will restart next week)","4"
"675",NA,2024-02-13,2024-02-20,"Environmental Monitoring Program (EMP)","Active","1"
"676",NA,2024-02-13,2024-02-20,"Mossdale Trawl","Active","1"
"677",NA,2024-02-13,2024-02-20,"USGS Flow monitoring","Active","1"
"678",NA,2024-02-13,2024-02-20,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"679",NA,2024-02-13,2024-02-20,"Knights Landing RST","Active","1"
"680",NA,2024-02-13,2024-02-20,"Tisdale RST","Active","1"
"681",NA,2024-02-13,2024-02-20,"Yuba River (Hallwood) RST","Active","1"
"682",NA,2024-02-13,2024-02-20,"Redd dewatering and stranding surveys","Active","1"
"683",NA,2024-02-13,2024-02-20,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"684",NA,2024-02-13,2024-02-20,"Lower Sacramento RST","Active (Inactive on 2/19)","1"
"685",NA,2024-02-13,2024-02-20,"Feather River (upper DWR) RST","Active","1"
"686",NA,2024-02-13,2024-02-20,"Feather River (lower CDFW) RST","Not Active","4"
"687",NA,2024-02-13,2024-02-20,"Lower American River at Watt Ave RST","Active (Inactive 2/6 - 2/15 due to heavy debris)","1"
"688",NA,2024-02-13,2024-02-20,"SJRRP CDFW Field Monitoring","Active","1"
"689",NA,2024-02-13,2024-02-20,"SJRRP USBR Field Monitoring","Active","1"
"690",NA,2024-02-13,2024-02-20,"Stanislaus Fish Weir","Active","1"
"691",NA,2024-02-13,2024-02-20,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"692",NA,2024-02-13,2024-02-20,"Stanislaus Carcass Survey (Steelhead)","Active","1"
"693",NA,2024-02-13,2024-02-20,"Caswell RST","Active","1"
"694",NA,2024-02-13,2024-02-20,"Wallace Weir","Active","1"
"695",NA,2024-02-13,2024-02-20,"Butte Creek RST/Diversion Trap","Active","1"
"696",NA,2024-02-20,2024-02-27,"SWP regular counts, CWT reading","Active","1"
"697",NA,2024-02-20,2024-02-27,"SWP larval sampling","Not Active (Will begin 3/11)","4"
"698",NA,2024-02-20,2024-02-27,"CVP regular counts, CWT reading","Active","1"
"699",NA,2024-02-20,2024-02-27,"CVP larval sampling","Active","1"
"700",NA,2024-02-20,2024-02-27,"Smelt Larval Survey","Active","1"
"701",NA,2024-02-20,2024-02-27,"LEPS","Active","1"
"702",NA,2024-02-20,2024-02-27,"20mm Survey","Not Active","4"
"703",NA,2024-02-20,2024-02-27,"Fall Mid-water Trawl","Not Active","4"
"704",NA,2024-02-20,2024-02-27,"Summer Townet Survey","Not Active","4"
"705",NA,2024-02-20,2024-02-27,"Bay Study","Active","1"
"706",NA,2024-02-20,2024-02-27,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"707",NA,2024-02-20,2024-02-27,"DJFMP- Seines","Active","1"
"708",NA,2024-02-20,2024-02-27,"EDSM","Active","1"
"709",NA,2024-02-20,2024-02-27,"Environmental Monitoring Program (EMP)","Active","1"
"710",NA,2024-02-20,2024-02-27,"Mossdale Trawl","Active","1"
"711",NA,2024-02-20,2024-02-27,"USGS Flow monitoring","Active","1"
"712",NA,2024-02-20,2024-02-27,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"713",NA,2024-02-20,2024-02-27,"Knights Landing RST","Active","1"
"714",NA,2024-02-20,2024-02-27,"Tisdale RST","Active","1"
"715",NA,2024-02-20,2024-02-27,"Yuba River (Hallwood) RST","Active","1"
"716",NA,2024-02-20,2024-02-27,"Redd dewatering and stranding surveys","Active","1"
"717",NA,2024-02-20,2024-02-27,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"718",NA,2024-02-20,2024-02-27,"Lower Sacramento RST","Active","1"
"719",NA,2024-02-20,2024-02-27,"Feather River (upper DWR) RST","Active","1"
"720",NA,2024-02-20,2024-02-27,"Feather River (lower CDFW) RST","Active","1"
"721",NA,2024-02-20,2024-02-27,"Lower American River at Watt Ave RST","Not Active (as of 2/18 due to heavy debris)","4"
"722",NA,2024-02-20,2024-02-27,"SJRRP CDFW Field Monitoring","Active","1"
"723",NA,2024-02-20,2024-02-27,"SJRRP USBR Field Monitoring","Active","1"
"724",NA,2024-02-20,2024-02-27,"Stanislaus Fish Weir","Active","1"
"725",NA,2024-02-20,2024-02-27,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"726",NA,2024-02-20,2024-02-27,"Stanislaus Carcass Survey (Steelhead)","Active","1"
"727",NA,2024-02-20,2024-02-27,"Caswell RST","Active","1"
"728",NA,2024-02-20,2024-02-27,"Wallace Weir","Active","1"
"729",NA,2024-02-20,2024-02-27,"Butte Creek RST/Diversion Trap","Active","1"
"730",NA,NA,NA,"SWP regular counts, CWT reading","Active","1"
"731",NA,NA,NA,"SWP larval sampling","Not Active (Will begin 3/11)","4"
"732",NA,NA,NA,"CVP regular counts, CWT reading","Active","1"
"733",NA,NA,NA,"CVP larval sampling","Active","1"
"734",NA,NA,NA,"Smelt Larval Survey","Active","1"
"735",NA,NA,NA,"LEPS","Active","1"
"736",NA,NA,NA,"20mm Survey","Not Active","4"
"737",NA,NA,NA,"Fall Mid-water Trawl","Not Active","4"
"738",NA,NA,NA,"Summer Townet Survey","Not Active","4"
"739",NA,NA,NA,"Bay Study","Active","1"
"740",NA,NA,NA,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"741",NA,NA,NA,"DJFMP- Seines","Active","1"
"742",NA,NA,NA,"EDSM","Active","1"
"743",NA,NA,NA,"Environmental Monitoring Program (EMP)","Active","1"
"744",NA,NA,NA,"Mossdale Trawl","Active","1"
"745",NA,NA,NA,"USGS Flow monitoring","Active","1"
"746",NA,NA,NA,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"747",NA,NA,NA,"Knights Landing RST","Active","1"
"748",NA,NA,NA,"Tisdale RST","Active","1"
"749",NA,NA,NA,"Yuba River (Hallwood) RST","Active","1"
"750",NA,NA,NA,"Redd dewatering and stranding surveys","Active","1"
"751",NA,NA,NA,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"752",NA,NA,NA,"Lower Sacramento RST","Active","1"
"753",NA,NA,NA,"Feather River (upper DWR) RST","Active","1"
"754",NA,NA,NA,"Feather River (lower CDFW) RST","Active","1"
"755",NA,NA,NA,"Lower American River at Watt Ave RST","Active","1"
"756",NA,NA,NA,"SJRRP CDFW Field Monitoring","Active","1"
"757",NA,NA,NA,"SJRRP USBR Field Monitoring","Active","1"
"758",NA,NA,NA,"Stanislaus Fish Weir","Active","1"
"759",NA,NA,NA,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"760",NA,NA,NA,"Stanislaus Carcass Survey (Steelhead)","Active","1"
"761",NA,NA,NA,"Caswell RST","Active","1"
"762",NA,NA,NA,"Wallace Weir","Active","1"
"763",NA,NA,NA,"Butte Creek RST/Diversion Trap","Active","1"
"764",NA,2024-03-05,2024-03-12,"SWP regular counts, CWT reading","Active","1"
"765",NA,2024-03-05,2024-03-12,"SWP larval sampling","Active","1"
"766",NA,2024-03-05,2024-03-12,"CVP regular counts, CWT reading","Active","1"
"767",NA,2024-03-05,2024-03-12,"CVP larval sampling","Active","1"
"768",NA,2024-03-05,2024-03-12,"Smelt Larval Survey","Active","1"
"769",NA,2024-03-05,2024-03-12,"LEPS","Active","1"
"770",NA,2024-03-05,2024-03-12,"20mm Survey","Not Active (will begin on 3/18)","4"
"771",NA,2024-03-05,2024-03-12,"Fall Mid-water Trawl","Not Active","4"
"772",NA,2024-03-05,2024-03-12,"Summer Townet Survey","Not Active","4"
"773",NA,2024-03-05,2024-03-12,"Bay Study","Active","1"
"774",NA,2024-03-05,2024-03-12,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"775",NA,2024-03-05,2024-03-12,"DJFMP- Seines","Active","1"
"776",NA,2024-03-05,2024-03-12,"EDSM","Active","1"
"777",NA,2024-03-05,2024-03-12,"Environmental Monitoring Program (EMP)","Active","1"
"778",NA,2024-03-05,2024-03-12,"Mossdale Trawl","Active","1"
"779",NA,2024-03-05,2024-03-12,"USGS Flow monitoring","Active","1"
"780",NA,2024-03-05,2024-03-12,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"781",NA,2024-03-05,2024-03-12,"Knights Landing RST","Active","1"
"782",NA,2024-03-05,2024-03-12,"Tisdale RST","Active","1"
"783",NA,2024-03-05,2024-03-12,"Yuba River (Hallwood) RST","Active","1"
"784",NA,2024-03-05,2024-03-12,"Redd dewatering and stranding surveys","Active","1"
"785",NA,2024-03-05,2024-03-12,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"786",NA,2024-03-05,2024-03-12,"Lower Sacramento RST","Active","1"
"787",NA,2024-03-05,2024-03-12,"Feather River (upper DWR) RST","Active","1"
"788",NA,2024-03-05,2024-03-12,"Feather River (lower CDFW) RST","Active","1"
"789",NA,2024-03-05,2024-03-12,"Lower American River at Watt Ave RST","Active","1"
"790",NA,2024-03-05,2024-03-12,"SJRRP CDFW Field Monitoring","Active","1"
"791",NA,2024-03-05,2024-03-12,"SJRRP USBR Field Monitoring","Active","1"
"792",NA,2024-03-05,2024-03-12,"Stanislaus Fish Weir","Active","1"
"793",NA,2024-03-05,2024-03-12,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"794",NA,2024-03-05,2024-03-12,"Stanislaus Carcass Survey (Steelhead)","Active","1"
"795",NA,2024-03-05,2024-03-12,"Caswell RST","Active","1"
"796",NA,2024-03-05,2024-03-12,"Wallace Weir","Active","1"
"797",NA,2024-03-05,2024-03-12,"Butte Creek RST/Diversion Trap","Active","1"
"798",NA,2024-03-12,2024-03-19,"SWP regular counts, CWT reading","Active","1"
"799",NA,2024-03-12,2024-03-19,"SWP larval sampling","Active","1"
"800",NA,2024-03-12,2024-03-19,"CVP regular counts, CWT reading","Active","1"
"801",NA,2024-03-12,2024-03-19,"CVP larval sampling","Active","1"
"802",NA,2024-03-12,2024-03-19,"Smelt Larval Survey","Active","1"
"803",NA,2024-03-12,2024-03-19,"LEPS","Active","1"
"804",NA,2024-03-12,2024-03-19,"20mm Survey","Active","1"
"805",NA,2024-03-12,2024-03-19,"Fall Mid-water Trawl","Not Active","4"
"806",NA,2024-03-12,2024-03-19,"Summer Townet Survey","Not Active","4"
"807",NA,2024-03-12,2024-03-19,"Bay Study","Active","1"
"808",NA,2024-03-12,2024-03-19,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"809",NA,2024-03-12,2024-03-19,"DJFMP- Seines","Active","1"
"810",NA,2024-03-12,2024-03-19,"EDSM","Active","1"
"811",NA,2024-03-12,2024-03-19,"Environmental Monitoring Program (EMP)","Active","1"
"812",NA,2024-03-12,2024-03-19,"Mossdale Trawl","Active","1"
"813",NA,2024-03-12,2024-03-19,"USGS Flow monitoring","Active","1"
"814",NA,2024-03-12,2024-03-19,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"815",NA,2024-03-12,2024-03-19,"Knights Landing RST","Active","1"
"816",NA,2024-03-12,2024-03-19,"Tisdale RST","Partial Interruption (interrupted 3/17-18)","2"
"817",NA,2024-03-12,2024-03-19,"Yuba River (Hallwood) RST","Active","1"
"818",NA,2024-03-12,2024-03-19,"Redd dewatering and stranding surveys","Active","1"
"819",NA,2024-03-12,2024-03-19,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"820",NA,2024-03-12,2024-03-19,"Lower Sacramento RST","Active","1"
"821",NA,2024-03-12,2024-03-19,"Feather River (upper DWR) RST","Active (trapping at half cone on 3/14-15)","1"
"822",NA,2024-03-12,2024-03-19,"Feather River (lower CDFW) RST","Active","1"
"823",NA,2024-03-12,2024-03-19,"Lower American River at Watt Ave RST","Active","1"
"824",NA,2024-03-12,2024-03-19,"SJRRP CDFW Field Monitoring","Active","1"
"825",NA,2024-03-12,2024-03-19,"SJRRP USBR Field Monitoring","Active","1"
"826",NA,2024-03-12,2024-03-19,"Stanislaus Fish Weir","Active","1"
"827",NA,2024-03-12,2024-03-19,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"828",NA,2024-03-12,2024-03-19,"Stanislaus Carcass Survey (Steelhead)","Active","1"
"829",NA,2024-03-12,2024-03-19,"Caswell RST","Active","1"
"830",NA,2024-03-12,2024-03-19,"Wallace Weir","Active","1"
"831",NA,2024-03-12,2024-03-19,"Butte Creek RST/Diversion Trap","Active","1"
"832",NA,NA,NA,"SWP regular counts, CWT reading","Active","1"
"833",NA,NA,NA,"SWP larval sampling","Active","1"
"834",NA,NA,NA,"CVP regular counts, CWT reading","Partial","2"
"835",NA,NA,NA,"CVP larval sampling","Partial","2"
"836",NA,NA,NA,"Smelt Larval Survey","Not Active","4"
"837",NA,NA,NA,"LEPS","Active","1"
"838",NA,NA,NA,"20mm Survey","Active","1"
"839",NA,NA,NA,"Fall Mid-water Trawl","Not Active","4"
"840",NA,NA,NA,"Summer Townet Survey","Not Active","4"
"841",NA,NA,NA,"Bay Study","Active","1"
"842",NA,NA,NA,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"843",NA,NA,NA,"DJFMP- Seines","Active","1"
"844",NA,NA,NA,"EDSM","Active","1"
"845",NA,NA,NA,"Environmental Monitoring Program (EMP)","Active","1"
"846",NA,NA,NA,"Mossdale Trawl","Active","1"
"847",NA,NA,NA,"USGS Flow monitoring","Active","1"
"848",NA,NA,NA,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"849",NA,NA,NA,"Knights Landing RST","Active","1"
"850",NA,NA,NA,"Tisdale RST","Active","2"
"851",NA,NA,NA,"Yuba River (Hallwood) RST","Active","1"
"852",NA,NA,NA,"Redd dewatering and stranding surveys","Active","1"
"853",NA,NA,NA,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"854",NA,NA,NA,"Lower Sacramento RST","Active (inactive 3/19-3/21)","1"
"855",NA,NA,NA,"Feather River (upper DWR) RST","Active","1"
"856",NA,NA,NA,"Feather River (lower CDFW) RST","Active (half cone 3/16 - 3/20)","1"
"857",NA,NA,NA,"Lower American River at Watt Ave RST","Active","1"
"858",NA,NA,NA,"SJRRP CDFW Field Monitoring","Active","1"
"859",NA,NA,NA,"SJRRP USBR Field Monitoring","Active","1"
"860",NA,NA,NA,"Stanislaus Fish Weir","Active","1"
"861",NA,NA,NA,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"862",NA,NA,NA,"Stanislaus Redd Survey (Steelhead)","Active","1"
"863",NA,NA,NA,"Caswell RST","Active","1"
"864",NA,NA,NA,"Wallace Weir","Active","1"
"865",NA,NA,NA,"Butte Creek RST/Diversion Trap","Active","1"
"866",NA,2024-03-26,2024-04-02,"SWP regular counts, CWT reading","Active","1"
"867",NA,2024-03-26,2024-04-02,"SWP larval sampling","Active","1"
"868",NA,2024-03-26,2024-04-02,"CVP regular counts, CWT reading","Active","1"
"869",NA,2024-03-26,2024-04-02,"CVP larval sampling","Active","1"
"870",NA,2024-03-26,2024-04-02,"Smelt Larval Survey","Not Active","4"
"871",NA,2024-03-26,2024-04-02,"LEPS","Active","1"
"872",NA,2024-03-26,2024-04-02,"20mm Survey","Active","1"
"873",NA,2024-03-26,2024-04-02,"Fall Mid-water Trawl","Not Active","4"
"874",NA,2024-03-26,2024-04-02,"Summer Townet Survey","Not Active","4"
"875",NA,2024-03-26,2024-04-02,"Bay Study","Active","1"
"876",NA,2024-03-26,2024-04-02,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"877",NA,2024-03-26,2024-04-02,"DJFMP- Seines","Active","1"
"878",NA,2024-03-26,2024-04-02,"EDSM","Active","1"
"879",NA,2024-03-26,2024-04-02,"Environmental Monitoring Program (EMP)","Active","1"
"880",NA,2024-03-26,2024-04-02,"Mossdale Trawl","Active","1"
"881",NA,2024-03-26,2024-04-02,"USGS Flow monitoring","Active","1"
"882",NA,2024-03-26,2024-04-02,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"883",NA,2024-03-26,2024-04-02,"Knights Landing RST","Active","1"
"884",NA,2024-03-26,2024-04-02,"Tisdale RST","Active","2"
"885",NA,2024-03-26,2024-04-02,"Yuba River (Hallwood) RST","Active","1"
"886",NA,2024-03-26,2024-04-02,"Redd dewatering and stranding surveys","Active","1"
"887",NA,2024-03-26,2024-04-02,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"888",NA,2024-03-26,2024-04-02,"Lower Sacramento RST","Active","1"
"889",NA,2024-03-26,2024-04-02,"Feather River (upper DWR) RST","Active","1"
"890",NA,2024-03-26,2024-04-02,"Feather River (lower CDFW) RST","Active","1"
"891",NA,2024-03-26,2024-04-02,"Lower American River at Watt Ave RST","Active","1"
"892",NA,2024-03-26,2024-04-02,"SJRRP CDFW Field Monitoring","Active","1"
"893",NA,2024-03-26,2024-04-02,"SJRRP USBR Field Monitoring","Active","1"
"894",NA,2024-03-26,2024-04-02,"Stanislaus Fish Weir","Active","1"
"895",NA,2024-03-26,2024-04-02,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"896",NA,2024-03-26,2024-04-02,"Stanislaus Redd Survey (Steelhead)","Active","1"
"897",NA,2024-03-26,2024-04-02,"Caswell RST","Active","1"
"898",NA,2024-03-26,2024-04-02,"Wallace Weir","Active","1"
"899",NA,2024-03-26,2024-04-02,"Butte Creek RST/Diversion Trap","Active","1"
"900",NA,2024-04-02,2024-04-09,"SWP regular counts, CWT reading","Active","1"
"901",NA,2024-04-02,2024-04-09,"SWP larval sampling","Active","1"
"902",NA,2024-04-02,2024-04-09,"CVP regular counts, CWT reading","Active","1"
"903",NA,2024-04-02,2024-04-09,"CVP larval sampling","Active","1"
"904",NA,2024-04-02,2024-04-09,"Smelt Larval Survey","Not Active","4"
"905",NA,2024-04-02,2024-04-09,"LEPS","Active","1"
"906",NA,2024-04-02,2024-04-09,"20mm Survey","Active","1"
"907",NA,2024-04-02,2024-04-09,"Fall Mid-water Trawl","Not Active","4"
"908",NA,2024-04-02,2024-04-09,"Summer Townet Survey","Not Active","4"
"909",NA,2024-04-02,2024-04-09,"Bay Study","Active","1"
"910",NA,2024-04-02,2024-04-09,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"911",NA,2024-04-02,2024-04-09,"DJFMP- Seines","Active","1"
"912",NA,2024-04-02,2024-04-09,"EDSM","Active","1"
"913",NA,2024-04-02,2024-04-09,"Environmental Monitoring Program (EMP)","Active","1"
"914",NA,2024-04-02,2024-04-09,"Mossdale Trawl","Active","1"
"915",NA,2024-04-02,2024-04-09,"USGS Flow monitoring","Active","1"
"916",NA,2024-04-02,2024-04-09,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"917",NA,2024-04-02,2024-04-09,"Knights Landing RST","Active","1"
"918",NA,2024-04-02,2024-04-09,"Tisdale RST","Active","1"
"919",NA,2024-04-02,2024-04-09,"Yuba River (Hallwood) RST","Active","1"
"920",NA,2024-04-02,2024-04-09,"Redd dewatering and stranding surveys","Active","1"
"921",NA,2024-04-02,2024-04-09,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"922",NA,2024-04-02,2024-04-09,"Lower Sacramento RST","Active (half-effort beginning 4/4)","1"
"923",NA,2024-04-02,2024-04-09,"Feather River (upper DWR) RST","Active","1"
"924",NA,2024-04-02,2024-04-09,"Feather River (lower CDFW) RST","Active","1"
"925",NA,2024-04-02,2024-04-09,"Lower American River at Watt Ave RST","Active","1"
"926",NA,2024-04-02,2024-04-09,"SJRRP CDFW Field Monitoring","Active","1"
"927",NA,2024-04-02,2024-04-09,"SJRRP USBR Field Monitoring","Active","1"
"928",NA,2024-04-02,2024-04-09,"Stanislaus Fish Weir","Active","1"
"929",NA,2024-04-02,2024-04-09,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"930",NA,2024-04-02,2024-04-09,"Stanislaus Redd Survey (Steelhead)","Active","1"
"931",NA,2024-04-02,2024-04-09,"Caswell RST","Active","1"
"932",NA,2024-04-02,2024-04-09,"Wallace Weir","Active","1"
"933",NA,2024-04-02,2024-04-09,"Butte Creek RST/Diversion Trap","Active","1"
"934",NA,2024-04-09,2024-04-16,"SWP regular counts, CWT reading","Active","1"
"935",NA,2024-04-09,2024-04-16,"SWP larval sampling","Active","1"
"936",NA,2024-04-09,2024-04-16,"CVP regular counts, CWT reading","Active","1"
"937",NA,2024-04-09,2024-04-16,"CVP larval sampling","Active","1"
"938",NA,2024-04-09,2024-04-16,"Smelt Larval Survey","Not Active","4"
"939",NA,2024-04-09,2024-04-16,"LEPS","Active","1"
"940",NA,2024-04-09,2024-04-16,"20mm Survey","Active","1"
"941",NA,2024-04-09,2024-04-16,"Fall Mid-water Trawl","Not Active","4"
"942",NA,2024-04-09,2024-04-16,"Summer Townet Survey","Not Active","4"
"943",NA,2024-04-09,2024-04-16,"Bay Study","Active","1"
"944",NA,2024-04-09,2024-04-16,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"945",NA,2024-04-09,2024-04-16,"DJFMP- Seines","Active","1"
"946",NA,2024-04-09,2024-04-16,"EDSM","Active","1"
"947",NA,2024-04-09,2024-04-16,"Environmental Monitoring Program (EMP)","Active","1"
"948",NA,2024-04-09,2024-04-16,"Mossdale Trawl","Active","1"
"949",NA,2024-04-09,2024-04-16,"USGS Flow monitoring","Active","1"
"950",NA,2024-04-09,2024-04-16,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"951",NA,2024-04-09,2024-04-16,"Knights Landing RST","Active","1"
"952",NA,2024-04-09,2024-04-16,"Tisdale RST","Active","1"
"953",NA,2024-04-09,2024-04-16,"Yuba River (Hallwood) RST","Active","1"
