"","event","start","end","group","notes","category"
"954",NA,2024-04-09,2024-04-16,"Redd dewatering and stranding surveys","Active","1"
"955",NA,2024-04-09,2024-04-16,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"956",NA,2024-04-09,2024-04-16,"Lower Sacramento RST","Active","1"
"957",NA,2024-04-09,2024-04-16,"Feather River (upper DWR) RST","Active","1"
"958",NA,2024-04-09,2024-04-16,"Feather River (lower CDFW) RST","Active","1"
"959",NA,2024-04-09,2024-04-16,"Lower American River at Watt Ave RST","Active","1"
"960",NA,2024-04-09,2024-04-16,"SJRRP CDFW Field Monitoring","Active","1"
"961",NA,2024-04-09,2024-04-16,"SJRRP USBR Field Monitoring","Active","1"
"962",NA,2024-04-09,2024-04-16,"Stanislaus Fish Weir","Active","1"
"963",NA,2024-04-09,2024-04-16,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"964",NA,2024-04-09,2024-04-16,"Stanislaus Redd Survey (Steelhead)","Active","1"
"965",NA,2024-04-09,2024-04-16,"Caswell RST","Active","1"
"966",NA,2024-04-09,2024-04-16,"Wallace Weir","Active","1"
"967",NA,2024-04-09,2024-04-16,"Butte Creek RST/Diversion Trap","Active","1"
"968",NA,2024-04-16,2024-04-23,"SWP regular counts, CWT reading","Active","1"
"969",NA,2024-04-16,2024-04-23,"SWP larval sampling","Active","1"
"970",NA,2024-04-16,2024-04-23,"CVP regular counts, CWT reading","Active","1"
"971",NA,2024-04-16,2024-04-23,"CVP larval sampling","Active","1"
"972",NA,2024-04-16,2024-04-23,"Smelt Larval Survey","Not Active","4"
"973",NA,2024-04-16,2024-04-23,"LEPS","Active","1"
"974",NA,2024-04-16,2024-04-23,"20mm Survey","Active","1"
"975",NA,2024-04-16,2024-04-23,"Fall Mid-water Trawl","Not Active","4"
"976",NA,2024-04-16,2024-04-23,"Summer Townet Survey","Not Active","4"
"977",NA,2024-04-16,2024-04-23,"Bay Study","Active","1"
"978",NA,2024-04-16,2024-04-23,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"979",NA,2024-04-16,2024-04-23,"DJFMP- Seines","Active","1"
"980",NA,2024-04-16,2024-04-23,"EDSM","Active","1"
"981",NA,2024-04-16,2024-04-23,"Environmental Monitoring Program (EMP)","Active","1"
"982",NA,2024-04-16,2024-04-23,"Mossdale Trawl","Active","1"
"983",NA,2024-04-16,2024-04-23,"USGS Flow monitoring","Active","1"
"984",NA,2024-04-16,2024-04-23,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"985",NA,2024-04-16,2024-04-23,"Knights Landing RST","Active","1"
"986",NA,2024-04-16,2024-04-23,"Tisdale RST","Active","1"
"987",NA,2024-04-16,2024-04-23,"Yuba River (Hallwood) RST","Active","1"
"988",NA,2024-04-16,2024-04-23,"Redd dewatering and stranding surveys","Active","1"
"989",NA,2024-04-16,2024-04-23,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"990",NA,2024-04-16,2024-04-23,"Lower Sacramento RST","Active","1"
"991",NA,2024-04-16,2024-04-23,"Feather River (upper DWR) RST","Active","1"
"992",NA,2024-04-16,2024-04-23,"Feather River (lower CDFW) RST","Active","1"
"993",NA,2024-04-16,2024-04-23,"Lower American River at Watt Ave RST","Active","1"
"994",NA,2024-04-16,2024-04-23,"SJRRP CDFW Field Monitoring","Active","1"
"995",NA,2024-04-16,2024-04-23,"SJRRP USBR Field Monitoring","Active","1"
"996",NA,2024-04-16,2024-04-23,"Stanislaus Fish Weir","Active","1"
"997",NA,2024-04-16,2024-04-23,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"998",NA,2024-04-16,2024-04-23,"Stanislaus Redd Survey (Steelhead)","Active","1"
"999",NA,2024-04-16,2024-04-23,"Caswell RST","Active","1"
"1000",NA,2024-04-16,2024-04-23,"Wallace Weir","Active","1"
"1001",NA,2024-04-16,2024-04-23,"Butte Creek RST/Diversion Trap","Active","1"
"1002",NA,2024-04-23,2024-04-30,"SWP regular counts, CWT reading","Active","1"
"1003",NA,2024-04-23,2024-04-30,"SWP larval sampling","Active","1"
"1004",NA,2024-04-23,2024-04-30,"CVP regular counts, CWT reading","Active","1"
"1005",NA,2024-04-23,2024-04-30,"CVP larval sampling","Active","1"
"1006",NA,2024-04-23,2024-04-30,"Smelt Larval Survey","Not Active","4"
"1007",NA,2024-04-23,2024-04-30,"LEPS","Active","1"
"1008",NA,2024-04-23,2024-04-30,"20mm Survey","Active","1"
"1009",NA,2024-04-23,2024-04-30,"Fall Mid-water Trawl","Not Active","4"
"1010",NA,2024-04-23,2024-04-30,"Summer Townet Survey","Not Active","4"
"1011",NA,2024-04-23,2024-04-30,"Bay Study","Active","1"
"1012",NA,2024-04-23,2024-04-30,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"1013",NA,2024-04-23,2024-04-30,"DJFMP- Seines","Active","1"
"1014",NA,2024-04-23,2024-04-30,"EDSM","Active","1"
"1015",NA,2024-04-23,2024-04-30,"Environmental Monitoring Program (EMP)","Active","1"
"1016",NA,2024-04-23,2024-04-30,"Mossdale Trawl","Active","1"
"1017",NA,2024-04-23,2024-04-30,"USGS Flow monitoring","Active","1"
"1018",NA,2024-04-23,2024-04-30,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"1019",NA,2024-04-23,2024-04-30,"Knights Landing RST","Active","1"
"1020",NA,2024-04-23,2024-04-30,"Tisdale RST","Active","1"
"1021",NA,2024-04-23,2024-04-30,"Yuba River (Hallwood) RST","Active","1"
"1022",NA,2024-04-23,2024-04-30,"Redd dewatering and stranding surveys","Active","1"
"1023",NA,2024-04-23,2024-04-30,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"1024",NA,2024-04-23,2024-04-30,"Lower Sacramento RST","Active (Inactive on 4/28; sampling at half cone due to debris)","1"
"1025",NA,2024-04-23,2024-04-30,"Feather River (upper DWR) RST","Active","1"
"1026",NA,2024-04-23,2024-04-30,"Feather River (lower CDFW) RST","Active","1"
"1027",NA,2024-04-23,2024-04-30,"Lower American River at Watt Ave RST","Active","1"
"1028",NA,2024-04-23,2024-04-30,"SJRRP CDFW Field Monitoring","Active","1"
"1029",NA,2024-04-23,2024-04-30,"SJRRP USBR Field Monitoring","Active","1"
"1030",NA,2024-04-23,2024-04-30,"Stanislaus Fish Weir","Active","1"
"1031",NA,2024-04-23,2024-04-30,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"1032",NA,2024-04-23,2024-04-30,"Stanislaus Redd Survey (Steelhead)","Not Active (Completed for the season)","4"
"1033",NA,2024-04-23,2024-04-30,"Caswell RST","Active","1"
"1034",NA,2024-04-23,2024-04-30,"Wallace Weir","Active","1"
"1035",NA,2024-04-23,2024-04-30,"Butte Creek RST/Diversion Trap","Active","1"
"1036",NA,2024-04-30,2024-05-07,"SWP regular counts, CWT reading","Active","1"
"1037",NA,2024-04-30,2024-05-07,"SWP larval sampling","Active","1"
"1038",NA,2024-04-30,2024-05-07,"CVP regular counts, CWT reading","Active","1"
"1039",NA,2024-04-30,2024-05-07,"CVP larval sampling","Active","1"
"1040",NA,2024-04-30,2024-05-07,"Smelt Larval Survey","Not Active","4"
"1041",NA,2024-04-30,2024-05-07,"LEPS","Active","1"
"1042",NA,2024-04-30,2024-05-07,"20mm Survey","Active","1"
"1043",NA,2024-04-30,2024-05-07,"Fall Mid-water Trawl","Not Active","4"
"1044",NA,2024-04-30,2024-05-07,"Summer Townet Survey","Not Active","4"
"1045",NA,2024-04-30,2024-05-07,"Bay Study","Active","1"
"1046",NA,2024-04-30,2024-05-07,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"1047",NA,2024-04-30,2024-05-07,"DJFMP- Seines","Active","1"
"1048",NA,2024-04-30,2024-05-07,"EDSM","Active","1"
"1049",NA,2024-04-30,2024-05-07,"Environmental Monitoring Program (EMP)","Active","1"
"1050",NA,2024-04-30,2024-05-07,"Mossdale Trawl","Active","1"
"1051",NA,2024-04-30,2024-05-07,"USGS Flow monitoring","Active","1"
"1052",NA,2024-04-30,2024-05-07,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"1053",NA,2024-04-30,2024-05-07,"Knights Landing RST","Active","1"
"1054",NA,2024-04-30,2024-05-07,"Tisdale RST","Active","1"
"1055",NA,2024-04-30,2024-05-07,"Yuba River (Hallwood) RST","Active","1"
"1056",NA,2024-04-30,2024-05-07,"Redd dewatering and stranding surveys","Active","1"
"1057",NA,2024-04-30,2024-05-07,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"1058",NA,2024-04-30,2024-05-07,"Lower Sacramento RST","Active","1"
"1059",NA,2024-04-30,2024-05-07,"Feather River (upper DWR) RST","Active","1"
"1060",NA,2024-04-30,2024-05-07,"Feather River (lower CDFW) RST","Active","1"
"1061",NA,2024-04-30,2024-05-07,"Lower American River at Watt Ave RST","Active","1"
"1062",NA,2024-04-30,2024-05-07,"SJRRP CDFW Field Monitoring","Active","1"
"1063",NA,2024-04-30,2024-05-07,"SJRRP USBR Field Monitoring","Active","1"
"1064",NA,2024-04-30,2024-05-07,"Stanislaus Fish Weir","Active","1"
"1065",NA,2024-04-30,2024-05-07,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"1066",NA,2024-04-30,2024-05-07,"Stanislaus Redd Survey (Steelhead)","Not Active","4"
"1067",NA,2024-04-30,2024-05-07,"Caswell RST","Active","1"
"1068",NA,2024-04-30,2024-05-07,"Wallace Weir","Active","1"
"1069",NA,2024-04-30,2024-05-07,"Butte Creek RST/Diversion Trap","Active","1"
"1070",NA,2024-05-07,2024-05-14,"SWP regular counts, CWT reading","Active","1"
"1071",NA,2024-05-07,2024-05-14,"SWP larval sampling","Active","1"
"1072",NA,2024-05-07,2024-05-14,"CVP regular counts, CWT reading","Active","1"
"1073",NA,2024-05-07,2024-05-14,"CVP larval sampling","Active","1"
"1074",NA,2024-05-07,2024-05-14,"Smelt Larval Survey","Not Active","4"
"1075",NA,2024-05-07,2024-05-14,"LEPS","Active","1"
"1076",NA,2024-05-07,2024-05-14,"20mm Survey","Active","1"
"1077",NA,2024-05-07,2024-05-14,"Fall Mid-water Trawl","Not Active","4"
"1078",NA,2024-05-07,2024-05-14,"Summer Townet Survey","Not Active","4"
"1079",NA,2024-05-07,2024-05-14,"Bay Study","Active","1"
"1080",NA,2024-05-07,2024-05-14,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"1081",NA,2024-05-07,2024-05-14,"DJFMP- Seines","Active","1"
"1082",NA,2024-05-07,2024-05-14,"EDSM","Active","1"
"1083",NA,2024-05-07,2024-05-14,"Environmental Monitoring Program (EMP)","Active","1"
"1084",NA,2024-05-07,2024-05-14,"Mossdale Trawl","Active","1"
"1085",NA,2024-05-07,2024-05-14,"USGS Flow monitoring","Active","1"
"1086",NA,2024-05-07,2024-05-14,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"1087",NA,2024-05-07,2024-05-14,"Knights Landing RST","Active","1"
"1088",NA,2024-05-07,2024-05-14,"Tisdale RST","Active","1"
"1089",NA,2024-05-07,2024-05-14,"Yuba River (Hallwood) RST","Active","1"
"1090",NA,2024-05-07,2024-05-14,"Redd dewatering and stranding surveys","Active","1"
"1091",NA,2024-05-07,2024-05-14,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"1092",NA,2024-05-07,2024-05-14,"Sacramento Carcass and Redd Surveys (Winter-run Chinook salmon)","Active","1"
"1093",NA,2024-05-07,2024-05-14,"Lower Sacramento RST","Active","1"
"1094",NA,2024-05-07,2024-05-14,"Feather River (upper DWR) RST","Active","1"
"1095",NA,2024-05-07,2024-05-14,"Feather River (lower CDFW) RST","Active","1"
"1096",NA,2024-05-07,2024-05-14,"Lower American River at Watt Ave RST","Active","1"
"1097",NA,2024-05-07,2024-05-14,"SJRRP CDFW Field Monitoring","Active","1"
"1098",NA,2024-05-07,2024-05-14,"SJRRP USBR Field Monitoring","Active","1"
"1099",NA,2024-05-07,2024-05-14,"Stanislaus Fish Weir","Active","1"
"1100",NA,2024-05-07,2024-05-14,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"1101",NA,2024-05-07,2024-05-14,"Stanislaus Redd Survey (Steelhead)","Not Active","4"
"1102",NA,2024-05-07,2024-05-14,"Caswell RST","Active","1"
"1103",NA,2024-05-07,2024-05-14,"Wallace Weir","Active","1"
"1104",NA,2024-05-07,2024-05-14,"Butte Creek RST/Diversion Trap","Active","1"
"1105",NA,2024-05-14,2024-05-21,"SWP regular counts, CWT reading","Active","1"
"1106",NA,2024-05-14,2024-05-21,"SWP larval sampling","Active","1"
"1107",NA,2024-05-14,2024-05-21,"CVP regular counts, CWT reading","Active","1"
"1108",NA,2024-05-14,2024-05-21,"CVP larval sampling","Active","1"
"1109",NA,2024-05-14,2024-05-21,"Smelt Larval Survey","Not Active","4"
"1110",NA,2024-05-14,2024-05-21,"LEPS","Active","1"
"1111",NA,2024-05-14,2024-05-21,"20mm Survey","Active","1"
"1112",NA,2024-05-14,2024-05-21,"Fall Mid-water Trawl","Not Active","4"
"1113",NA,2024-05-14,2024-05-21,"Summer Townet Survey","Not Active","4"
"1114",NA,2024-05-14,2024-05-21,"Bay Study","Active","1"
"1115",NA,2024-05-14,2024-05-21,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"1116",NA,2024-05-14,2024-05-21,"DJFMP- Seines","Active","1"
"1117",NA,2024-05-14,2024-05-21,"EDSM","Active","1"
"1118",NA,2024-05-14,2024-05-21,"Environmental Monitoring Program (EMP)","Active","1"
"1119",NA,2024-05-14,2024-05-21,"Mossdale Trawl","Active","1"
"1120",NA,2024-05-14,2024-05-21,"USGS Flow monitoring","Active","1"
"1121",NA,2024-05-14,2024-05-21,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"1122",NA,2024-05-14,2024-05-21,"Knights Landing RST","Not Active (stopped trapping on 5/16)","4"
"1123",NA,2024-05-14,2024-05-21,"Tisdale RST","Active","1"
"1124",NA,2024-05-14,2024-05-21,"Yuba River (Hallwood) RST","Active","1"
"1125",NA,2024-05-14,2024-05-21,"Redd dewatering and stranding surveys","Active","1"
"1126",NA,2024-05-14,2024-05-21,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"1127",NA,2024-05-14,2024-05-21,"Sacramento Carcass and Redd Surveys (Winter-run Chinook salmon)","Active","1"
"1128",NA,2024-05-14,2024-05-21,"Lower Sacramento RST","Active","1"
"1129",NA,2024-05-14,2024-05-21,"Feather River (upper DWR) RST","Active","1"
"1130",NA,2024-05-14,2024-05-21,"Feather River (lower CDFW) RST","Active","1"
"1131",NA,2024-05-14,2024-05-21,"Lower American River at Watt Ave RST","Active","1"
"1132",NA,2024-05-14,2024-05-21,"SJRRP CDFW Field Monitoring","Active","1"
"1133",NA,2024-05-14,2024-05-21,"SJRRP USBR Field Monitoring","Active","1"
"1134",NA,2024-05-14,2024-05-21,"Stanislaus Fish Weir","Active","1"
"1135",NA,2024-05-14,2024-05-21,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"1136",NA,2024-05-14,2024-05-21,"Stanislaus Redd Survey (Steelhead)","Not Active","4"
"1137",NA,2024-05-14,2024-05-21,"Caswell RST","Active","1"
"1138",NA,2024-05-14,2024-05-21,"Wallace Weir","Active","1"
"1139",NA,2024-05-14,2024-05-21,"Butte Creek RST/Diversion Trap","Active","1"
"1140",NA,2024-05-21,2024-05-28,"SWP regular counts, CWT reading","Active","1"
"1141",NA,2024-05-21,2024-05-28,"SWP larval sampling","Active","1"
"1142",NA,2024-05-21,2024-05-28,"CVP regular counts, CWT reading","Active","1"
"1143",NA,2024-05-21,2024-05-28,"CVP larval sampling","Active","1"
"1144",NA,2024-05-21,2024-05-28,"Smelt Larval Survey","Not Active","4"
"1145",NA,2024-05-21,2024-05-28,"LEPS","Active","1"
"1146",NA,2024-05-21,2024-05-28,"20mm Survey","Active","1"
"1147",NA,2024-05-21,2024-05-28,"Fall Mid-water Trawl","Not Active","4"
"1148",NA,2024-05-21,2024-05-28,"Summer Townet Survey","Not Active","4"
"1149",NA,2024-05-21,2024-05-28,"Bay Study","Active","1"
"1150",NA,2024-05-21,2024-05-28,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"1151",NA,2024-05-21,2024-05-28,"DJFMP- Seines","Active","1"
"1152",NA,2024-05-21,2024-05-28,"EDSM","Active","1"
"1153",NA,2024-05-21,2024-05-28,"Environmental Monitoring Program (EMP)","Active","1"
"1154",NA,2024-05-21,2024-05-28,"Mossdale Trawl","Active","1"
"1155",NA,2024-05-21,2024-05-28,"USGS Flow monitoring","Active","1"
"1156",NA,2024-05-21,2024-05-28,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"1157",NA,2024-05-21,2024-05-28,"Knights Landing RST","Active","1"
"1158",NA,2024-05-21,2024-05-28,"Tisdale RST","Active","1"
"1159",NA,2024-05-21,2024-05-28,"Yuba River (Hallwood) RST","Active","1"
"1160",NA,2024-05-21,2024-05-28,"Redd dewatering and stranding surveys","Active","1"
"1161",NA,2024-05-21,2024-05-28,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"1162",NA,2024-05-21,2024-05-28,"Sacramento Carcass and Redd Surveys (Winter-run Chinook salmon)","Active","1"
"1163",NA,2024-05-21,2024-05-28,"Lower Sacramento RST","Active","1"
"1164",NA,2024-05-21,2024-05-28,"Feather River (upper DWR) RST","Active","1"
"1165",NA,2024-05-21,2024-05-28,"Feather River (lower CDFW) RST","Active","1"
"1166",NA,2024-05-21,2024-05-28,"Lower American River at Watt Ave RST","Active","1"
"1167",NA,2024-05-21,2024-05-28,"SJRRP CDFW Field Monitoring","Active","1"
"1168",NA,2024-05-21,2024-05-28,"SJRRP USBR Field Monitoring","Active","1"
"1169",NA,2024-05-21,2024-05-28,"Stanislaus Fish Weir","Active","1"
"1170",NA,2024-05-21,2024-05-28,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"1171",NA,2024-05-21,2024-05-28,"Stanislaus Redd Survey (Steelhead)","Not Active","4"
"1172",NA,2024-05-21,2024-05-28,"Caswell RST","Active","1"
"1173",NA,2024-05-21,2024-05-28,"Wallace Weir","Active","1"
"1174",NA,2024-05-21,2024-05-28,"Butte Creek RST/Diversion Trap","Active","1"
"1175",NA,2024-05-28,2024-06-04,"SWP regular counts, CWT reading","Active","1"
"1176",NA,2024-05-28,2024-06-04,"SWP larval sampling","Active","1"
"1177",NA,2024-05-28,2024-06-04,"CVP regular counts, CWT reading","Active","1"
"1178",NA,2024-05-28,2024-06-04,"CVP larval sampling","Active","1"
"1179",NA,2024-05-28,2024-06-04,"Smelt Larval Survey","Not Active","4"
"1180",NA,2024-05-28,2024-06-04,"LEPS","Active","1"
"1181",NA,2024-05-28,2024-06-04,"20mm Survey","Active","1"
"1182",NA,2024-05-28,2024-06-04,"Fall Mid-water Trawl","Not Active","4"
"1183",NA,2024-05-28,2024-06-04,"Summer Townet Survey","Active","1"
"1184",NA,2024-05-28,2024-06-04,"Bay Study","Active","1"
"1185",NA,2024-05-28,2024-06-04,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"1186",NA,2024-05-28,2024-06-04,"DJFMP- Seines","Active","1"
"1187",NA,2024-05-28,2024-06-04,"EDSM","Active","1"
"1188",NA,2024-05-28,2024-06-04,"Environmental Monitoring Program (EMP)","Active","1"
"1189",NA,2024-05-28,2024-06-04,"Mossdale Trawl","Active","1"
"1190",NA,2024-05-28,2024-06-04,"USGS Flow monitoring","Active","1"
"1191",NA,2024-05-28,2024-06-04,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"1192",NA,2024-05-28,2024-06-04,"Knights Landing RST","Active","1"
"1193",NA,2024-05-28,2024-06-04,"Tisdale RST","Active","1"
"1194",NA,2024-05-28,2024-06-04,"Yuba River (Hallwood) RST","Active","1"
"1195",NA,2024-05-28,2024-06-04,"Redd dewatering and stranding surveys","Active","1"
"1196",NA,2024-05-28,2024-06-04,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"1197",NA,2024-05-28,2024-06-04,"Sacramento Carcass and Redd Surveys (Winter-run Chinook salmon)","Active","1"
"1198",NA,2024-05-28,2024-06-04,"Lower Sacramento RST","Active","1"
"1199",NA,2024-05-28,2024-06-04,"Feather River (upper DWR) RST","Active","1"
"1200",NA,2024-05-28,2024-06-04,"Feather River (lower CDFW) RST","Active","1"
"1201",NA,2024-05-28,2024-06-04,"Lower American River at Watt Ave RST","Active","1"
"1202",NA,2024-05-28,2024-06-04,"SJRRP CDFW Field Monitoring","Active","1"
"1203",NA,2024-05-28,2024-06-04,"SJRRP USBR Field Monitoring","Active","1"
"1204",NA,2024-05-28,2024-06-04,"Stanislaus Fish Weir","Active","1"
"1205",NA,2024-05-28,2024-06-04,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"1206",NA,2024-05-28,2024-06-04,"Stanislaus Redd Survey (Steelhead)","Not Active","4"
"1207",NA,2024-05-28,2024-06-04,"Caswell RST","Active","1"
"1208",NA,2024-05-28,2024-06-04,"Wallace Weir","Active","1"
"1209",NA,2024-05-28,2024-06-04,"Butte Creek RST/Diversion Trap","Active","1"
"1210",NA,2024-06-04,2024-06-11,"SWP regular counts, CWT reading","Active","1"
"1211",NA,2024-06-04,2024-06-11,"SWP larval sampling","Active","1"
"1212",NA,2024-06-04,2024-06-11,"CVP regular counts, CWT reading","Active","1"
"1213",NA,2024-06-04,2024-06-11,"CVP larval sampling","Active","1"
"1214",NA,2024-06-04,2024-06-11,"Smelt Larval Survey","Not Active","4"
"1215",NA,2024-06-04,2024-06-11,"LEPS","Active","1"
"1216",NA,2024-06-04,2024-06-11,"20mm Survey","Active","1"
"1217",NA,2024-06-04,2024-06-11,"Fall Mid-water Trawl","Not Active","4"
"1218",NA,2024-06-04,2024-06-11,"Summer Townet Survey","Active","1"
"1219",NA,2024-06-04,2024-06-11,"Bay Study","Active","1"
"1220",NA,2024-06-04,2024-06-11,"DJFMP- Chipps and Sacramento Trawls","Active","1"
"1221",NA,2024-06-04,2024-06-11,"DJFMP- Seines","Active","1"
"1222",NA,2024-06-04,2024-06-11,"EDSM","Active","1"
"1223",NA,2024-06-04,2024-06-11,"Environmental Monitoring Program (EMP)","Active","1"
"1224",NA,2024-06-04,2024-06-11,"Mossdale Trawl","Active","1"
"1225",NA,2024-06-04,2024-06-11,"USGS Flow monitoring","Active","1"
"1226",NA,2024-06-04,2024-06-11,"Red Bluff Diversion Dam Rotary Screw Trap (RST)","Active","1"
"1227",NA,2024-06-04,2024-06-11,"Knights Landing RST","Not Active (since 6/4)","4"
"1228",NA,2024-06-04,2024-06-11,"Tisdale RST","Not Active (ended for season on 6/5)","4"
"1229",NA,2024-06-04,2024-06-11,"Yuba River (Hallwood) RST","Active","1"
"1230",NA,2024-06-04,2024-06-11,"Redd dewatering and stranding surveys","Active","1"
"1231",NA,2024-06-04,2024-06-11,"Sacramento Carcass and Redd Surveys (Late fall-run Chinook salmon)","Active","1"
"1232",NA,2024-06-04,2024-06-11,"Sacramento Carcass and Redd Surveys (Winter-run Chinook salmon)","Active","1"
"1233",NA,2024-06-04,2024-06-11,"Lower Sacramento RST","Not Active","4"
"1234",NA,2024-06-04,2024-06-11,"Feather River (upper DWR) RST","Active","1"
"1235",NA,2024-06-04,2024-06-11,"Feather River (lower CDFW) RST","Active","1"
"1236",NA,2024-06-04,2024-06-11,"Lower American River at Watt Ave RST","Active","1"
"1237",NA,2024-06-04,2024-06-11,"SJRRP CDFW Field Monitoring","Active","1"
"1238",NA,2024-06-04,2024-06-11,"SJRRP USBR Field Monitoring","Not Active","4"
"1239",NA,2024-06-04,2024-06-11,"Stanislaus Fish Weir","Active","1"
"1240",NA,2024-06-04,2024-06-11,"American River Carcass/Redd Surveys (Fall-run Chinook salmon)","Not Active","4"
"1241",NA,2024-06-04,2024-06-11,"Stanislaus Redd Survey (Steelhead)","Not Active","4"
"1242",NA,2024-06-04,2024-06-11,"Caswell RST","Active","1"
"1243",NA,2024-06-04,2024-06-11,"Wallace Weir","Not Active","4"
"1244",NA,2024-06-04,2024-06-11,"Butte Creek RST/Diversion Trap","Active","1"
